instance,n,number of cycles,covered squares,cpu_time (s),solution found
87ddc0d8-918f-46d1-8aa8-8f6a17c53ea6.singles,5,13,7,0.00161361,True
49c96381-82c6-40e6-ab84-0d2bc6f28aaa.singles,5,41,7,0.002294113,True
f35f3fa2-6798-48cc-bf07-e6cf1c669741.singles,5,8,8,0.00167713,True
24b5d08a-4185-4920-a705-998261fc3a8f.singles,5,15,7,0.001954619,True
5ca6d0df-a1b4-4c06-a5fa-f75614545a8a.singles,5,74,7,0.002538902,True
2f127243-3104-46ff-b226-8df4b2a22a72.singles,5,10,6,0.001806832,True
2d71226f-523c-448d-9b73-3d0a9a8a2a51.singles,5,12,7,0.001901389,True
8221f535-5dc7-4eb1-8970-34d3f9ce74da.singles,5,19,7,0.001821639,True
376e89db-d1bd-49f3-834b-f2b67718942c.singles,5,21,7,0.00174666,True
5e262976-b1a7-49b5-9e7b-fae6277b3d0d.singles,5,33,7,0.002071127,True
0304c018-64c7-4f89-97ac-2d9848446053.singles,5,39,7,0.002195098,True
76b39d06-5ef6-4061-824a-6f1f87b9662d.singles,5,205,7,0.003652867,True
53fd332c-062c-4fb5-b507-89b96e5231b1.singles,5,19,7,0.001874518,True
77a9adc0-1d1b-40ad-b932-9f4385029c85.singles,5,62,8,0.002750869,True
ab0d8b8c-fc56-4f2f-81a1-8d09213ef601.singles,5,4,7,0.001782105,True
0ea487df-5a52-4b68-a170-365ee509750d.singles,5,208,8,0.004892188,True
10d0a3ad-5fb0-4b58-be57-521ded2c1996.singles,5,22,7,0.001995544,True
f4a1199f-1011-4448-b868-7ec929f5f7b6.singles,5,8,6,0.00154389,True
81215e76-bd49-4649-ad38-7860b72af629.singles,5,26,8,0.001860443,True
131e9cf1-9c0b-475e-8ff1-e71a79e65f61.singles,5,6,8,0.001536175,True
dbe27fd0-406e-41a8-b4e1-79547bd08d8b.singles,5,35,8,0.001995184,True
03441b92-33bd-484a-9751-9848b787626e.singles,5,7,7,0.001563115,True
9f9ef2a7-2eb9-4f9d-9d1e-7620c5687f08.singles,5,16,7,0.001722355,True
bd74373e-f57b-4ab3-b88f-f65b596941c7.singles,5,13,7,0.002026063,True
af8b8b9e-98ab-45e0-aa02-debe1177e74e.singles,5,24,7,0.0021536,True
fc14acaa-fcf1-47b4-8a3f-857dc99053fe.singles,5,5,7,0.001505849,True
