instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),time illegal solutions (s),iterations,number_of_runs_for_time_data,number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
5cb49ba0-291f-4253-825b-263e2c7e8b61.singles,5,0.00166768,0.00017990368000000008,0.0004203110299999999,1.382e-06,2.4444980000000006e-05,0,100,7,11,7,0,0,0,0,2
5ce2facd-aef2-47e5-bf6a-28194443a45d.singles,5,0.002094318,0.00018360901999999994,0.0007169855000000001,1.613e-06,0.00045481995,1,100,17,16,7,0,0,0,1,0
5d12124f-d6aa-42b3-9cb8-f0ed19182392.singles,5,0.001476576,0.00018854702,0.00027945345,1.653e-06,2.3982329999999998e-05,0,100,2,15,8,0,0,0,1,0
5df8966e-984f-4a46-bc81-5733f49b733b.singles,5,0.002295852,0.00018256538000000004,0.00057675477,1.563e-06,0.0008369408599999999,2,100,13,15,6,0,0,0,2,0
5e0ced33-bef0-49d9-b734-5fa79c32cf25.singles,5,0.001379324,0.00018647790999999997,0.0005539383800000002,1.693e-06,2.4816229999999983e-05,0,100,10,16,7,0,0,0,1,0
5e0da53a-6a52-4606-b2b7-5c3b9a9f8409.singles,5,0.001352137,0.00018386882,0.0003871649600000002,1.383e-06,2.5554089999999992e-05,0,100,6,14,7,0,0,0,1,0
5e262976-b1a7-49b5-9e7b-fae6277b3d0d.singles,5,0.001379389,0.00018665928999999997,0.0009687381099999999,1.372e-06,2.4703860000000003e-05,0,100,33,17,7,0,0,0,2,0
5e3be134-cd4e-4921-9e24-592108d209e8.singles,5,0.001407916,0.00018154769999999994,0.0013212436399999991,1.914e-06,2.5015230000000006e-05,0,100,67,17,6,0,0,0,1,0
5e4a6d00-9458-494a-99bd-6f39562752c4.singles,5,0.001378883,0.00018349699,0.0008017241900000001,1.713e-06,2.597571e-05,0,100,18,16,7,0,0,0,1,0
5e6e65ee-8e97-48e3-99b6-a5ee0f1c383f.singles,5,0.001364509,0.00018469797000000002,0.00022490193000000006,1.372e-06,2.6127239999999996e-05,0,100,1,10,5,0,0,0,1,0
