instance,n,number of cycles,covered squares,cpu_time (s),solution found
48b1ce02-74c8-439a-99db-90f59f660e77.singles,5,5,8,0.002508677,True
49c64763-056f-4994-8ff1-3d2640af8839.singles,5,19,8,0.06903751,True
c1ecd023-68f4-41b5-9873-a653a5726c49.singles,5,3,6,6.919336421,True
b7745f1f-e384-41c3-b91a-d5ff17770370.singles,5,7,7,0.067195164,True
1893d907-da6d-4aef-a5a4-2ad8d7f8a063.singles,5,9,6,0.081886308,True
f86352d5-2442-4e4a-8e4c-604e078f70e2.singles,5,13,7,0.9635156,True
99e8ac30-5f3f-4552-85c5-ab097bfd6ff7.singles,5,15,6,0.063573808,True
85ffe68d-6cac-4dd9-823f-3c87ad870cfb.singles,5,10,8,0.001429964,True
5c12e80f-6ba6-40bf-b91b-f33d02002229.singles,5,32,8,0.001286864,True
2949db77-56bd-408e-ad75-5087237018f0.singles,5,7,6,0.05741204,True
3a0c1de9-da9f-4f01-8ac6-00d55b2ec6f3.singles,5,26,7,0.022885275,True
20a38305-6dd9-4925-a44f-c2a9ccdd4f45.singles,5,15,8,0.012470685,True
7c4a01c3-54ab-438a-913b-3c395f7905da.singles,5,13,6,0.165802459,True
779529ed-0ef5-44ee-8388-f845c825b1be.singles,5,13,7,0.015616479,True
7e04afcf-5b3a-4aa4-a706-fe0f55d85a08.singles,5,30,7,0.006674486,True
511e42b6-da49-4f55-b272-b9ae7edb36a3.singles,5,8,6,0.208860353,True
7f704e6a-25bb-451f-9548-4f682c8350ea.singles,5,44,7,0.004345565,True
c6ab3e62-baeb-4475-8af4-ca3a566ae802.singles,5,10,6,0.012045336,True
4a850c04-1441-49bc-8807-ea3c639c0f2f.singles,5,88,7,0.011368023,True
17d05a55-4d6a-4d2e-9fc0-f81fa207c05e.singles,5,40,7,0.084023886,True
15b5dfed-991a-45c6-9199-654aa296248a.singles,5,8,8,0.010997946,True
87ddc0d8-918f-46d1-8aa8-8f6a17c53ea6.singles,5,13,7,0.243402111,True
49c96381-82c6-40e6-ab84-0d2bc6f28aaa.singles,5,41,7,0.03602671,True
f35f3fa2-6798-48cc-bf07-e6cf1c669741.singles,5,8,8,0.097144129,True
24b5d08a-4185-4920-a705-998261fc3a8f.singles,5,15,7,0.010905807,True
5ca6d0df-a1b4-4c06-a5fa-f75614545a8a.singles,5,74,7,0.003886064,True
2f127243-3104-46ff-b226-8df4b2a22a72.singles,5,10,6,0.056761231,True
2d71226f-523c-448d-9b73-3d0a9a8a2a51.singles,5,12,7,0.129193495,True
8221f535-5dc7-4eb1-8970-34d3f9ce74da.singles,5,19,7,0.004738412,True
376e89db-d1bd-49f3-834b-f2b67718942c.singles,5,21,7,0.013227781,True
5e262976-b1a7-49b5-9e7b-fae6277b3d0d.singles,5,33,7,0.007436685,True
0304c018-64c7-4f89-97ac-2d9848446053.singles,5,39,7,0.005066528,True
76b39d06-5ef6-4061-824a-6f1f87b9662d.singles,5,205,7,0.006013667,True
53fd332c-062c-4fb5-b507-89b96e5231b1.singles,5,19,7,0.004276063,True
77a9adc0-1d1b-40ad-b932-9f4385029c85.singles,5,62,8,0.063440206,True
ab0d8b8c-fc56-4f2f-81a1-8d09213ef601.singles,5,4,7,0.316360367,True
0ea487df-5a52-4b68-a170-365ee509750d.singles,5,208,8,0.002257486,True
10d0a3ad-5fb0-4b58-be57-521ded2c1996.singles,5,22,7,0.026753054,True
f4a1199f-1011-4448-b868-7ec929f5f7b6.singles,5,8,6,0.239402552,True
81215e76-bd49-4649-ad38-7860b72af629.singles,5,26,8,0.00947445,True
131e9cf1-9c0b-475e-8ff1-e71a79e65f61.singles,5,6,8,0.078881157,True
dbe27fd0-406e-41a8-b4e1-79547bd08d8b.singles,5,35,8,0.002465599,True
03441b92-33bd-484a-9751-9848b787626e.singles,5,7,7,0.004486439,True
9f9ef2a7-2eb9-4f9d-9d1e-7620c5687f08.singles,5,16,7,0.042784933,True
bd74373e-f57b-4ab3-b88f-f65b596941c7.singles,5,13,7,2.016917254,True
af8b8b9e-98ab-45e0-aa02-debe1177e74e.singles,5,24,7,0.021130102,True
fc14acaa-fcf1-47b4-8a3f-857dc99053fe.singles,5,5,7,0.002525059,True
ee822ca3-e7f8-462f-9681-84b76ca78e84.singles,5,4,6,0.076749265,True
26d62745-9be0-4843-8e7f-8e4b86d8f3a3.singles,5,25,6,0.326961285,True
bc758801-9c2e-425d-aa08-48a5567e9d43.singles,5,31,7,0.004687386,True
83092457-4cbd-40f8-bb4e-bec6d3a2fff4.singles,5,32,7,0.007048126,True
721e608d-2de8-4b21-9d85-833e154a7669.singles,5,6,7,0.005161568,True
0b95eec2-3d92-42f3-9622-755140897020.singles,5,78,7,0.064677522,True
6faa7545-8ce8-4356-8948-281b81c5411d.singles,5,23,7,0.00175916,True
7884c79b-2a2c-4204-8d17-fd87a87b3fec.singles,5,69,8,0.004466301,True
705437a4-5dce-4b20-89a5-a5c54f1aa461.singles,5,9,7,0.120507092,True
26174738-2f0a-468a-b8d3-0b95f0915ffe.singles,5,18,7,0.01350881,True
f28bd710-618d-4bff-b11b-a1a281228415.singles,5,7,6,0.009284902,True
941ea581-6ce3-482a-9737-1fe5152c62ad.singles,5,27,6,0.255467884,True
7b16debb-aa3b-42b1-afe3-f971d71b6167.singles,5,24,7,0.030517309,True
91b438b0-d8f7-47b7-81e4-9bd9a7c7a639.singles,5,6,6,0.020655373,True
21fc9bac-707c-41f3-acf5-e2e19dbfc2a7.singles,5,91,7,0.015764011,True
94ef1d32-b7a4-4fa3-ab5e-1729605cfcef.singles,5,3,8,0.003849775,True
ef44e05f-2b19-4ce2-b549-cf27a1916ebf.singles,5,14,6,0.023558068,True
702b880c-b2ca-4383-84ce-2c722757e730.singles,5,21,6,20,False
d912ed30-dc79-49d6-b086-63abae33e595.singles,5,40,7,0.030223374,True
6fc7cbee-5179-4720-bece-8602db52e8d6.singles,5,21,8,0.07093206,True
113ccb00-bcb3-442a-a423-e48dcafd7cdc.singles,5,35,6,2.050437907,True
74f0048c-675e-4e45-a306-f39785a6bb7a.singles,5,17,7,0.084605043,True
1dcf9f9d-cab3-45be-93e4-b7dfcfd70b78.singles,5,21,7,0.904238224,True
13be0ba3-7474-4edf-9f5d-37078c37831f.singles,5,5,7,0.010857777,True
38925b08-8219-4cad-97b1-c56fbbd915a0.singles,5,6,7,0.016643796,True
68a91f6e-c0ee-4899-8c32-e4f5b30f4129.singles,5,123,6,0.016633095,True
bc6c476d-8126-4dd2-9f3d-2865749019b6.singles,5,13,7,0.009301582,True
2a45d90a-0d65-4beb-af68-e07570a9a95e.singles,5,4,6,0.502951535,True
1c383f1c-6c61-466d-9091-fb6bd1c0d605.singles,5,3,6,0.012949924,True
79ecd2a6-badc-48cf-b68e-fb183392b8ed.singles,5,15,7,0.231571921,True
f5fdd02a-0218-467d-be3d-22db2eb0e35a.singles,5,26,8,0.162408058,True
c9f52980-a833-4206-97dd-55b46657a5ce.singles,5,19,7,0.302744944,True
26f0812c-bad6-45d0-a61e-d76c674f4628.singles,5,22,7,0.004341568,True
d54ac478-5a6a-420b-a32c-50e397939c55.singles,5,8,7,0.022437665,True
55a5c59c-3d3f-4c3e-998b-fa47d5d39eca.singles,5,16,7,0.016556397,True
09c30354-70b5-475c-b5c4-c8461e2f4617.singles,5,4,8,0.007140319,True
86806004-cad8-4aed-9e4e-ea818a8e37e5.singles,5,12,7,0.305118806,True
9bad9b74-269f-45db-bd5b-68f94edb7943.singles,5,21,7,0.002522083,True
223c203d-df0e-4254-b2d7-6e1a1f58c232.singles,5,3,7,0.380508097,True
c532f912-ddaf-405b-ab9d-de25e2bbb4e0.singles,5,13,7,0.044552719,True
12bd0619-4e1c-4800-99d8-a1adbc122821.singles,5,8,7,0.050223951,True
05b67cf5-fd30-42b3-92f9-56f74ee622d1.singles,5,10,6,4.108014058,True
3446093e-9bc4-4af9-95e7-762315c73778.singles,5,4,7,0.174337916,True
1779397d-1236-4ca6-9950-c272b737ab03.singles,5,11,7,0.006224672,True
6ee5f099-154b-4eac-8546-6e5eff4d5565.singles,5,15,7,0.010404605,True
1f4dec40-d61c-4c76-af41-c4db5d1753a8.singles,5,22,7,0.071836744,True
8add9fe8-c767-47eb-b52a-d21b415c8e2f.singles,5,18,8,0.001412131,True
bba98cd9-377a-41e9-955a-f0e18fc13cbe.singles,5,1,6,0.00700758,True
93523a01-d531-4e2e-88c4-7a670292f832.singles,5,13,7,0.025966198,True
eba5b1f3-615b-41e2-983a-4560c61f153d.singles,5,16,7,0.025838817,True
3b27f597-9bc1-45b5-87ae-b43d18c1982b.singles,5,217,7,0.028462263,True
e15241c0-f157-4ba3-8fd4-7bfcf92fe8d1.singles,5,25,7,1.837101215,True
1034cc94-c132-4892-b713-53f2fb501368.singles,5,10,8,0.001844301,True
3d64580d-c970-4ca8-942d-a297a136f4d6.singles,5,13,7,0.00431646,True
33d4041d-7242-47ad-bb4d-1f371b813c5f.singles,5,13,6,0.277138372,True
121a033e-f3fa-4978-bd76-b25e650c3ac2.singles,5,29,7,0.007697285,True
aab9d2ad-3a9d-4a2f-a395-49b896bc9dba.singles,5,3,8,0.002431613,True
bf33a249-834e-4991-a33e-bc27f74b5180.singles,5,15,6,0.157702636,True
26ffc66c-4082-4838-887c-0dedd537f4b3.singles,5,6,7,0.017663668,True
5e4a6d00-9458-494a-99bd-6f39562752c4.singles,5,18,7,0.022406414,True
c01ef134-c064-495a-b2b6-3337c0914025.singles,5,15,7,0.00176409,True
767e6f9c-923c-4acb-a4d9-1ed22ee8a591.singles,5,21,7,0.00438562,True
a5702dd3-de02-46f9-b732-ee03d18983a7.singles,5,4,6,2.821211752,True
2c26fae1-00fb-4be2-9833-af82e9f9a31d.singles,5,11,7,0.011124018,True
