instance,n,cpu_time,Solution
0094ca9a-afa6-4ac7-87ef-0e724899e1c3.singles,5,0.009083485000000113,True
02200851-0f7b-470d-b6f0-7fe53e86f271.singles,5,0.003442905999999857,True
026c512f-4959-46c6-89f2-efcb9ad3ae21.singles,5,0.0028565080000000354,True
04e06df1-eb6f-4156-92dc-2e602319fa75.singles,5,0.0033117010000001113,True
082cbf5c-5d1a-4041-b7f5-5c324ad674b9.singles,5,0.0027279170000000796,True
0da8ac3e-e4e3-4d47-b971-9abbe351acff.singles,5,0.0030091330000001637,True
0fdd3398-cb3a-4000-990a-cd6e67fa7185.singles,5,0.002117710999999911,True
135ed659-ad95-4c78-9769-003ed0dae98d.singles,5,0.0028660650000000842,True
13b16e8e-2253-428b-93ce-6bf8ae6e90cc.singles,5,0.002814298000000104,True
13bbb1f3-5881-492d-a02e-0cf518ec2ad2.singles,5,0.002882665999999867,True
16cb7fc4-57ea-4b68-a551-f9ba89826e8d.singles,5,0.0026008559999999292,True
18b6b2c6-d052-4a2b-b7a7-cf0cb1194d94.singles,5,0.0022555989999999415,True
1a46a0a0-9b4c-42ab-b953-e0af6e9aa136.singles,5,0.0023447279999999626,True
1ae27695-18ac-4192-be86-abd2e28f592d.singles,5,0.002930325999999983,True
20d99415-f6ec-4ad1-86ce-93b7f893959e.singles,5,0.002296036000000168,True
246153f9-87f2-4f81-b685-b2c96fcb9ced.singles,5,0.004059172000000055,True
2464072b-3c00-4f1a-9b51-283f8e93d184.singles,5,0.0029051669999999863,True
2501003e-b4d3-49d9-ad9b-2ecf482a93bf.singles,5,0.0019643129999999953,True
2a04b557-0961-4430-b992-44b42e3e3ca7.singles,5,0.001476107999999865,True
2a21fda9-bd35-4a8f-ab88-1371f0768e1a.singles,5,0.002433925000000059,True
2bcc7f4e-d5ac-451f-8fef-2653f03b1702.singles,5,0.0018696870000001198,True
2c2c3cef-f595-42bf-bae9-52b10a61f24d.singles,5,0.0030206349999999382,True
2c7e5c2d-01d9-4d0a-9ec3-909f95bfe9f6.singles,5,0.002001676000000119,True
2dbe0e71-dafb-425b-8e3d-5f65c22171af.singles,5,0.0014639549999999613,True
2ff08d86-c4d6-4501-85c3-a1176045298c.singles,5,0.0021781439999999375,True
30f4a067-cdfd-4ee1-a55c-0b536a300cd8.singles,5,0.0019487140000000736,True
34e0cc0e-4ecf-435d-a50a-64e0f2ae669b.singles,5,0.0019012250000001174,True
3512aaa4-28b4-4784-99d6-f513fe96a312.singles,5,0.002728626000000123,True
38732747-9290-458a-974e-d0ea55137a26.singles,5,0.003232614000000078,True
3a9a45bd-93d9-4085-97cf-0d99180352e7.singles,5,0.0021266369999999313,True
3afe2369-beec-4d42-ac79-0a3bdd3c5511.singles,5,0.0025988640000000895,True
3b16672c-bcb5-48de-a2be-e64dd705d432.singles,5,0.00228106699999997,True
40e6cfdf-80df-4c9d-b208-988e7851ffc6.singles,5,0.0022540469999998702,True
