instance,n,number of cycles,covered squares,cpu_time (s),solution found
329cecb9-b1dd-4b82-bbf8-ed031b82a0b6.singles,10,1495,29,0.019468701,True
32a06f11-7d00-4eec-9779-be0ec4b8250b.singles,10,122,29,0.003352183,True
32cb4dcf-4dcf-4aa8-a1b7-6cf0e5a949e5.singles,10,7441,30,0.004457493,True
32d21fa8-3147-4dd8-838c-913fdaa0793e.singles,10,169,28,0.003221722,True
33356b7b-ba93-4eaf-8c9d-07e86f86e003.singles,10,1127,28,0.003307933,True
33ad8e57-7e2f-4dee-9bf2-7c3d8ec8df69.singles,10,363,30,0.00484561,True
33cf4808-5771-458b-b25b-674185b242ec.singles,10,1615,29,0.006067768,True
34a03875-b8d2-42d7-a9d5-5577cb37f167.singles,10,382,29,0.003452902,True
34d48792-c234-4180-9255-0fd1dc27d2f2.singles,10,5268,28,0.003292642,True
34f82d4a-2ba4-4391-b9e9-d54a4758f876.singles,10,156,28,0.00393228,True
3531bc28-1188-43a9-bf29-6c9d401ce3ca.singles,10,4896,29,0.005849078,True
35624a2d-01c5-45fd-860b-189eee05096f.singles,10,188,27,0.00352041,True
35fa22d3-4f33-4e23-8bfe-bb58035b8ebb.singles,10,2701,29,0.003421795,True
36291c4c-e7da-463e-bb1f-f057c8c4ec29.singles,10,1218,30,0.003241817,True
36889813-7029-4d37-8f2a-b3203303ad09.singles,10,3182,31,0.003222312,True
37a4f071-4b9e-4721-9b7e-5b03546a2f78.singles,10,861,27,0.003923181,True
3873ff83-e86b-4a0c-bd83-2038246f38dc.singles,10,1943,30,0.003336114,True
3911de15-e3b2-4943-a866-2c9738f20456.singles,10,896,28,0.016583561,True
3930c9cb-4fe2-49be-91ab-9c344a2ef803.singles,10,223,29,0.00377164,True
3978251d-e4a9-47cd-923f-965e7c23a174.singles,10,7716,30,0.005108243,True
3986da07-cec2-4cc4-a777-2f041dca2120.singles,10,5519,29,0.003254512,True
3a67e1d8-4903-4acd-9a52-9a35e6814f08.singles,10,1238,28,0.003833235,True
3aca6e02-62c3-40a2-a836-5393e1dd9e5c.singles,10,3513,28,0.032683174,True
3b164978-bdc0-422c-abb6-bf036c3de996.singles,10,298,30,0.00342901,True
3b3a108a-14cb-470b-bc66-ddd279aa0c97.singles,10,106,27,0.011219061,True
3b8657a2-543d-4608-be70-023bece043dd.singles,10,2533,30,0.013198866,True
3caafe0e-ea69-4d57-87e7-ef8574aee47c.singles,10,269,29,0.003346474,True
3cb0ed2d-5579-44c6-9735-b48d24520fee.singles,10,5363,28,0.010048696,True
3cb8d056-389c-49bf-a5e0-bcf900225748.singles,10,1518,27,0.004242232,True
3d39948d-f531-4541-a553-7dac5c1a59d5.singles,10,6259,29,0.00398925,True
3d726825-b70a-4700-84cc-f6e56f3f74ca.singles,10,472,29,0.003561596,True
3da022ca-d4f2-4660-b5dd-b6d081e42cd1.singles,10,2665,29,0.003375829,True
3dd74bd6-ba4d-49ec-86f5-5566a1d7844c.singles,10,255,30,0.00572188,True
3e7fedce-f5c7-46d3-b708-9be99cfb9ad4.singles,10,5977,30,0.003289156,True
3ea29376-063b-4a5c-bf09-34e435809078.singles,10,2620,29,0.095689552,True
3f2da778-97da-4b14-abb8-a536b206d816.singles,10,139,27,0.004237632,True
3f519177-5d9d-4b5d-92c5-7d5ec39d7db4.singles,10,10209,29,0.007844393,True
3f7aa0c2-6c53-4275-b018-e928e69f3973.singles,10,1341,29,0.003423488,True
3f8d0a48-9dfd-41cd-95c5-6f32dea31fec.singles,10,130,28,0.003246026,True
3fa68671-10bb-4eb5-8b48-eae048167447.singles,10,1143,30,0.402805829,True
3fb9935e-c692-4046-a04e-ebd3b4444586.singles,10,1707,28,0.003493257,True
3fbaefbc-5a04-4a1b-8995-3dbd6e9f9c16.singles,10,257,29,0.005108271,True
3fc1b705-3f7e-4fb5-9651-9a658efa1803.singles,10,4955,28,0.004155087,True
404c7a94-4f98-442e-abd0-d97b382444a8.singles,10,583,29,0.003320275,True
404e15fd-43a6-4c88-9537-ec156d6c9923.singles,10,2745,29,0.013873211,True
40a2576b-e961-4558-8dbf-74ff293959ef.singles,10,3729,30,0.00918905,True
40bde607-f94e-45cb-b004-eb40eb963196.singles,10,271,28,0.017292255,True
40e42c30-ee07-4fa4-b39b-982787a62926.singles,10,509,30,0.004266337,True
411c8bda-3974-42c8-9e73-aebb225526e7.singles,10,152,28,0.003370588,True
419caf5e-b567-4f2a-8499-17806c66f1e3.singles,10,1637,29,0.003384605,True
41bdad01-d40f-418a-bb7b-e6e8a520d625.singles,10,520,28,0.009042796,True
41c29d46-e0bd-4000-9a1b-d9d055d2b2f2.singles,10,415,28,0.006471803,True
41d0c8ca-b9cd-45c7-a624-e6bc729e93db.singles,10,4809,30,0.011611394,True
4231a793-721b-4702-b9dc-35eebd89cf40.singles,10,954,28,0.112227076,True
424a2cff-f16a-4b32-a01b-af8e1fc9fbd1.singles,10,329,28,0.00381453,True
42532c73-1a34-4deb-b124-c33202fd196e.singles,10,1024,29,0.005283127,True
426fb34b-e785-40ff-95c1-89a0029cadd8.singles,10,158,30,0.00671594,True
42b0f7ef-0006-4d38-bc95-5fbc82fc914a.singles,10,1809,29,0.028433679,True
42f96aeb-b7b3-4ca2-8cff-6e7a3a5cb354.singles,10,522,30,0.003378904,True
42fd673f-2965-484d-a7b3-a4507a8f725e.singles,10,562,29,0.003292523,True
4363bd6a-1a11-467e-a0ad-1b24106995bb.singles,10,136,29,0.00502178,True
43696c51-1f7c-4ad5-9180-d4c7d5b9d1bf.singles,10,1645,29,0.003389395,True
43cbee97-063f-491d-b47d-585da755e225.singles,10,473,27,0.057359042,True
43d9dd5d-fe8c-4edd-85d8-346770232d5e.singles,10,50,29,0.003409201,True
43fb35fd-2ad2-4b01-a6a0-c0b537deafba.singles,10,14339,29,0.012370045,True
44021bef-73b9-4175-98ee-1f14c12caa8a.singles,10,3894,29,0.005240204,True
44093f15-d06e-4418-8356-b8e13a57ec92.singles,10,751,28,0.006872162,True
441ba13b-5d83-4287-b02c-2497815283d9.singles,10,4752,29,0.054482071,True
4427fad5-ce84-4b3a-90df-61e2db73446b.singles,10,1064,29,0.00581832,True
446fbec7-e0b9-499a-90d1-b004f9e6ab4e.singles,10,33935,31,0.003253269,True
44779ab8-e192-4959-bfae-061061b8644b.singles,10,129,29,0.006304169,True
4486d872-2f27-427a-86eb-7a6a4761e208.singles,10,319,30,0.00361119,True
44bc3a1e-c3cc-4ce2-9ec5-41bbdfa7c147.singles,10,907,29,0.003937209,True
44f9be4e-fcb7-41e6-836e-52265d3264aa.singles,10,388516,27,0.003430417,True
452e8c1b-2f67-4248-821a-f7377223b5ca.singles,10,581,29,0.004019633,True
45714564-64c2-4fb2-9555-da1b74025984.singles,10,5171,29,0.005823869,True
45aa4908-9535-4ea4-a1b4-cbec46ed6183.singles,10,1353,29,0.027129483,True
45c95ba1-85bb-433a-b33c-6a382fbd1f8d.singles,10,418,28,0.003721365,True
46c74a23-9c7e-4554-9ac6-f61186196d5d.singles,10,7149,31,0.007706964,True
47029695-5d74-4339-ab63-16eb18685d49.singles,10,15807,29,0.00989577,True
477c46f6-c7c4-4b3c-84a6-0148f27fd9fa.singles,10,117,29,0.003367413,True
47b051e8-517f-4a00-b59f-8608162074f2.singles,10,1314,30,0.003882808,True
47bede37-b838-4b04-b3a8-e64ebcedca36.singles,10,192,28,0.003644681,True
47e05e8d-d82e-40f5-ade0-10f15a5b51be.singles,10,1731,29,0.003356401,True
481e6931-82a8-4cd9-b01a-782789e7841c.singles,10,3325,28,0.003226669,True
48d9b7b7-aff1-43fe-8f74-b944faa9a781.singles,10,377,28,0.003263909,True
48dcf1fd-b167-40d4-9b08-c04db198779a.singles,10,50164,28,0.160392021,True
49303b2d-5f7f-4125-ba06-469cc6b8236f.singles,10,481,28,1.988107372,True
493907b2-cc33-4f14-8bab-a21fdc4c489c.singles,10,3536,30,0.00434335,True
4981b9b3-b2df-4a58-b2e1-e018b11e696f.singles,10,202,27,0.74962943,True
499e6564-652f-4538-8be7-ef8df3e671ff.singles,10,1486,28,0.006225062,True
49cc3598-2c11-4b25-8d48-013bf2ff48e7.singles,10,633,28,0.003254863,True
4a2833f4-cfaa-4f49-a856-dd0c3e7d5162.singles,10,42,28,0.011197059,True
4a388584-64f1-4e83-baba-e80f4146bc4a.singles,10,83125,30,0.005093944,True
