instance,n,number of cycles,covered squares,cpu_time (s),solution found
1310b2ba-79b6-483f-8ad4-c849a43a0bd6.singles,10,637,28,0.003538146,True
1319a178-33c0-435d-9f33-9d904ecad5ea.singles,10,9079,31,0.003120903,True
13642b3d-03d9-4e8d-8113-ca3125afdbf1.singles,10,169,28,0.136513507,True
136f4ffe-60ed-4f72-bbfc-f96aef701c5f.singles,10,296,27,0.007040642,True
13a0deb9-e004-40c0-82a4-609d47bd8890.singles,10,2125,30,0.00515521,True
13c09486-2247-4716-b37e-ac49952faaa2.singles,10,12916,29,0.003274651,True
14260c21-a09b-408d-aa21-757d4d4a0d3e.singles,10,457,28,0.003350914,True
14773f70-b871-4ca4-bd5e-440ada3a6bcf.singles,10,2806,28,0.003190084,True
14888376-b9cb-4d4c-9717-4456141a0491.singles,10,649,29,0.00385457,True
14a8737a-eeed-4cf2-a4b0-d5f890db301f.singles,10,122,28,0.007520371,True
14a9e42c-4b21-4119-97b8-66fc91d766ee.singles,10,255,29,0.002950855,True
14bf554a-c773-433c-8b24-dc544e6167d1.singles,10,1302,28,0.003646358,True
14c0c8da-6234-4b44-b7e0-1449209f96e9.singles,10,408,28,0.003970828,True
14d82475-3f13-4d69-a87e-dcfedfb11ee3.singles,10,1126,29,0.003128096,True
15235985-f737-4a87-bed0-6516907f2b0d.singles,10,440,28,4.405916802,True
15325d55-e287-4247-808e-f41f7ed69136.singles,10,6985,29,0.003377154,True
15451449-e04f-410a-81a5-93e3ac05b473.singles,10,1694,29,0.004247455,True
1581dd3a-5b36-4c09-9ed7-abcf7b30f0a7.singles,10,756,29,0.034535227,True
15c7878e-2d3d-44bd-92f2-f044fa17de75.singles,10,60,29,0.003038778,True
16213563-beb9-4958-a059-f842a86d4f35.singles,10,3848,28,0.007813435,True
1634853c-52db-4a61-be18-3fed94f6f126.singles,10,957,29,0.00319362,True
168a245e-c08f-45f2-82ce-db149cab23ed.singles,10,212,29,0.005340628,True
16daf7bc-6e58-4d89-bb06-80296d6435a1.singles,10,30697,30,0.016745405,True
1708d980-19d3-4924-9dd8-f56b85634ce2.singles,10,263,28,0.003575184,True
17507c78-f40f-46af-9e56-37545408d749.singles,10,580,29,0.003015393,True
179b23fc-0a22-4c5d-953a-3ff97567eab5.singles,10,304,29,0.002944893,True
17cf7438-1cd3-4365-aee2-d1f99363e6dd.singles,10,3076,29,0.00299636,True
18410807-35b8-49fb-8791-b9901d825913.singles,10,296,28,0.004544221,True
18f826d7-7464-4e1f-b2e7-95bf8440e7a0.singles,10,458,27,0.00690127,True
192af2b6-ab4c-4af9-9023-f153ec93df8a.singles,10,153,29,0.002998682,True
1987445a-6e6b-43d1-aaff-2e7323b42c29.singles,10,416,28,0.002894817,True
19a9f3e0-5387-4219-b71a-4586f8222298.singles,10,214,28,0.004080882,True
19bcbaea-0300-4072-9b55-1dd70669973f.singles,10,77,27,0.002910608,True
1a05ddf9-1c1a-47d3-85ab-b9a034852324.singles,10,562,30,0.0065484,True
1a073d25-65f2-42cc-98dd-476632045ee1.singles,10,1852,28,0.0044045,True
1a74e75b-6b8c-4dfc-8678-e5ab0f8815f4.singles,10,393,29,0.002914468,True
1aade891-fdc5-4c16-85b8-557f090f9a3f.singles,10,1683,29,0.003122875,True
1ad4631d-9b5b-4eea-ab02-70e8a03ce67a.singles,10,649,29,0.009737863,True
1b147727-fe70-41ca-8705-240b689cc237.singles,10,4729,29,0.002950174,True
1b529cd6-ee9f-462d-b711-3d4971644f23.singles,10,42960,30,0.003886448,True
1c612c3e-5ef8-4cda-815f-ca681ab24d53.singles,10,1921,28,0.003050411,True
1cc5a879-b0db-4d89-9ac8-c32e0114af8a.singles,10,2631,28,0.024348061,True
1de23a3a-ad4f-4b62-b43c-e1b8084155b4.singles,10,323,28,0.004397619,True
1e0c1778-3b73-4155-bfa2-0e769ca5a83c.singles,10,479,29,0.003808773,True
1e4aeadd-9ebf-49d5-b078-3e3e395c1ae3.singles,10,1213,28,0.006447903,True
1eceaaf3-da4c-41ff-9824-18d81355fa90.singles,10,30946,29,0.021125448,True
1f72aa5f-4962-451d-94ca-0e82fb8e20a7.singles,10,1690,29,0.008656646,True
1fb51598-f44f-472c-baeb-9f0e66b8a089.singles,10,788,29,1.832826512,True
1fbb2d08-2fc1-412f-ac61-c1f5ca993227.singles,10,613,29,0.003928777,True
1ffe8fc2-268a-40f6-8f0c-2e99d799bde5.singles,10,399,30,0.003565236,True
20ab734f-931d-4291-a60d-18458df7cff6.singles,10,3676,28,0.003634677,True
21103c0b-2065-42e2-bd47-02f767a8134a.singles,10,1833,30,0.009795713,True
211e9dd0-7bf2-476b-a20f-94281414e728.singles,10,874,28,0.003799365,True
213ffe88-ae6c-4d83-a5fa-b6f0dc30b1b6.singles,10,1805,30,0.003845491,True
229d9a9c-d77d-4ad4-8217-bf9795bddd4e.singles,10,238,29,0.002940366,True
229e29e2-8c97-432e-b076-dd01da0d5e8b.singles,10,443,29,0.002947106,True
22b36f05-a7c2-484a-aeea-ab39e32d10e6.singles,10,6098,30,0.003177591,True
23b0ce7a-eef7-4e2d-924d-dd44d9d9479f.singles,10,201,30,0.005704037,True
24b6b164-ecaf-49e5-9089-f0188b8cbd18.singles,10,2996,30,0.006113744,True
253573f9-3717-4f24-8974-3141f4757245.singles,10,196,29,0.002976462,True
257527b2-4a0d-4d08-8f94-943b66ea3ff0.singles,10,312,28,0.003176538,True
2596b8c9-e685-4cfa-bbc4-46165187b079.singles,10,1227,29,0.003729485,True
25dba782-224d-412c-8159-21acd745c7b5.singles,10,262,27,0.003585554,True
25f099b6-36ad-4471-b371-c7f947a5cb1b.singles,10,217,28,0.009734312,True
2606bc43-ad86-4e85-9194-a9f7c986ff4f.singles,10,201,30,0.016872164,True
26736532-663d-445f-b0dc-130d01ad4dd0.singles,10,454,30,0.003085037,True
26955c8f-4e90-48d2-aaa6-7e2a47e420a2.singles,10,7624,31,0.005011098,True
269cf19e-fb26-428b-ba88-cb48cbc6c67e.singles,10,260,26,0.003099234,True
26ae0f19-ff9a-4bcc-9ac0-e48f106b3b5f.singles,10,1310,30,0.005090628,True
27b00d81-aa74-48bd-991e-2778e7107e55.singles,10,15525,29,0.004767863,True
27cffb8f-b32e-4e37-8a80-cc5db97c986d.singles,10,3477,29,0.006748305,True
27d51262-8287-437b-9202-4f097c8b5d89.singles,10,30097,29,0.008859163,True
27eb0744-c570-4c6c-8a54-fc5a23c85916.singles,10,913,28,0.005308946,True
27f76bb9-2625-4631-aae0-4f9db4dc5ef3.singles,10,418,30,0.004404312,True
284f5983-c990-4007-82ae-9953ec65783a.singles,10,622,30,0.004853774,True
29b47e6b-bdc9-406c-b09a-e53c6f4b6631.singles,10,635,29,0.003271896,True
29ba17f8-7f7a-46d6-8b87-ccb5b38d7500.singles,10,94,27,0.029957335,True
29c6179b-7745-427b-92fb-6c49c0b75d55.singles,10,2182,28,0.013020869,True
29fbea7a-4bb2-4c0d-891a-b1bc1d28f99a.singles,10,1333,29,0.00522527,True
2a2950da-42f0-43d7-9384-ca47644c1e1e.singles,10,1067,29,0.008109399,True
2a4d4e24-0d09-4320-938e-c16ba5d2f999.singles,10,250,29,0.003080298,True
2a6d74e2-5136-401e-af09-fa56657bbd62.singles,10,11726,30,0.003680163,True
