instance,n,number of cycles,covered squares,cpu_time (s),solution found
0d4271e9-bb39-4548-b80b-8fd92d215cc2.singles,10,11088,31,0.167839847,True
0d6f12e5-c870-47ce-859d-eed019b52e5f.singles,10,9795,29,0.118657244,True
0d7f65a3-6dce-43e1-9bef-bf05ab44eebc.singles,10,4196,30,0.070664064,True
0d9c5269-c17d-4e02-81b8-3ed56c79f7cf.singles,10,2979,28,0.04859171,True
0dcd698e-1688-409d-a1b4-f03023de1196.singles,10,382,28,0.010062032,True
0dedd1be-7f68-4db8-a18b-9913f1c1c06d.singles,10,103,30,0.005576688,True
0e2c30ca-b548-49ee-9075-3f8475170f7c.singles,10,717,29,0.01562852,True
0e4fb10d-f824-4b86-b327-b3ae79df61f0.singles,10,353,30,0.009307587,True
0e7621c0-2023-41d1-9204-7f61c2f7d36f.singles,10,2111,30,0.031713931,True
0e9190d2-f8dc-463d-ba0f-19e35493cf70.singles,10,169345,31,2.246609095,True
0f12482d-4cee-4494-8282-e7940ff9d252.singles,10,188,29,0.007716754,True
0f26e361-909a-4ad8-b241-688488183eb4.singles,10,905,31,0.019112303,True
0f888035-164b-4f85-916a-a338963ea075.singles,10,1386,29,0.022123384,True
0f941625-86ce-42a3-930c-6f69b565862b.singles,10,13124,30,0.166815621,True
0fe78e96-5231-4811-bad8-afa8351b209f.singles,10,1308,29,0.029498043,True
10308438-aa86-4dfc-9a21-2624d1107b5e.singles,10,296,28,0.009168297,True
103fe361-b53d-41e4-a690-5e30444b0d1e.singles,10,80,27,0.005134148,True
104a801c-31a2-445e-8b3b-16a46f2a2b17.singles,10,1605,29,0.025779418,True
10741c55-1e6b-419e-86ba-9dad415bb838.singles,10,14135,31,0.207627692,True
10c56c5c-8f6a-4e99-bfbb-612d1b98dca1.singles,10,1155,28,0.024987439,True
10dc9d3f-1539-4872-a53b-04c38ff9c789.singles,10,5078,31,0.082171462,True
10eb711a-09c3-44a5-bcdb-ec8c905224f1.singles,10,359,31,0.011481532,True
119fccf5-222f-443b-9139-fb25cec68243.singles,10,409,28,0.009714601,True
11a17446-175a-4b68-a88a-7f509d11a09e.singles,10,3224,29,0.044068952,True
11f3c0d3-553f-4c66-a629-56d6b69c6a78.singles,10,2367,31,0.044226112,True
12b2ea50-ee3b-499d-bac0-1fb7bfe1d2ab.singles,10,94,28,0.004972865,True
12e961e5-143c-499a-9ad5-36fae9054b11.singles,10,596,30,0.012854378,True
1310b2ba-79b6-483f-8ad4-c849a43a0bd6.singles,10,637,28,0.015262019,True
1319a178-33c0-435d-9f33-9d904ecad5ea.singles,10,9079,31,0.146659016,True
13642b3d-03d9-4e8d-8113-ca3125afdbf1.singles,10,169,28,0.006337147,True
136f4ffe-60ed-4f72-bbfc-f96aef701c5f.singles,10,296,27,0.042967878,True
