instance,n,number of cycles,covered squares,cpu_time (s),solution found
08ae4c8c-6af6-4d3b-bc08-f5ddf1122c6b.singles,10,1767,28,0.006807834,True
08e2f1d4-ec7a-449c-8a3f-ccc3ffe8d611.singles,10,291,28,0.00356486,True
09535a01-9d36-4a22-939e-8ac449aeee48.singles,10,750,28,0.004472564,True
0975fa97-f353-42a5-a03a-7aa4c797aadd.singles,10,60,29,0.003360496,True
09f3217e-14b4-40f2-934d-b598c9cf3c01.singles,10,233,29,0.468585597,True
0a1e3f7c-02b3-4b5f-a923-3d6d9fde1c01.singles,10,1488,28,0.005525639,True
0a41a850-0ac3-4a80-bf3c-ed027c834f78.singles,10,6473,29,0.003425007,True
0a4df37a-8c4c-44ba-94cf-60a696cd096a.singles,10,4685,28,0.003345688,True
0a65b582-4233-4887-9579-6c01f72f5ad7.singles,10,101,28,0.004143634,True
0a851f86-6e67-46c6-af6c-778de687124b.singles,10,800,30,0.038270178,True
0aa2a8fc-ea17-4140-9ac0-dee6fb62fae5.singles,10,577,29,0.004244257,True
0ab9ae5e-8471-450e-b572-0a10a12d790f.singles,10,2359,30,0.00566442,True
0abe91b5-90dd-44d9-aa01-4ff3c6fa5a25.singles,10,433,28,0.003377256,True
0ac13a15-25eb-400e-b408-4e5266c5dfea.singles,10,2553,29,0.681558629,True
0b8d733c-6ece-40fc-b1a9-016d63631c17.singles,10,117,28,0.003540553,True
0c1f4045-852d-4670-a94e-5f9ea656bb22.singles,10,4915,29,0.084239536,True
0c756d85-8cde-47d2-9ffd-d6ec254b65b3.singles,10,2285,30,0.004320838,True
0c9e4fb9-80d5-4b54-8806-dd6193aa8461.singles,10,2949,28,0.004331419,True
0cb1617c-d5f2-461e-b536-b9c9291e4b8e.singles,10,1543,30,0.003394201,True
0cba65d0-93ed-46fd-8d11-95d69c4c8999.singles,10,572,29,0.003372128,True
0cfe26b0-b5dc-44f6-b70c-80200ee0b0eb.singles,10,205,29,0.004288869,True
0d083bbc-22a2-467e-9276-c53a6c8f82b5.singles,10,687,28,0.006047067,True
0d8a89c1-278f-4463-93d2-9590cbd04bf6.singles,10,321,29,0.004288627,True
0dbc7239-83f1-4e22-87e7-5f9578106616.singles,10,721,29,0.004333031,True
0dc65bfb-a217-4f1a-90cc-9df2ef395188.singles,10,8270,29,3.564183926,True
0de114b9-29a8-4c55-90ad-a739471c6fab.singles,10,2618,27,0.003640751,True
0e5d7337-15d7-4076-89b6-e8a118590fe5.singles,10,154,27,0.004356886,True
0e6c5268-e78e-4aa5-9f47-9bcab701284c.singles,10,608,29,0.003413135,True
0e81678d-3d80-4729-8e02-b0a9dbaa11ba.singles,10,614,29,0.009644779,True
0f061f7c-bc54-433c-8c1e-f232eeb4a78d.singles,10,3998,29,0.01213893,True
0f61321d-b5c2-4a47-b555-f1384c04fd00.singles,10,9511,29,0.012245569,True
0f620bff-bf7d-4007-b42c-780b9687c4b8.singles,10,1099,30,0.004311062,True
0f6f2bb7-b280-4d5c-b401-bd5901a71f2f.singles,10,334,29,0.005205488,True
0f820077-cd6d-4c4c-a942-b9cfc375060d.singles,10,2115,29,0.003538451,True
0f8be5c0-cea3-4792-90bf-15e580ed166b.singles,10,259,30,0.008249863,True
0fb43771-d7a2-4eba-a55b-b3ab846c7117.singles,10,3630,30,0.003437953,True
0fd4ebbc-d835-4443-b951-1663792de666.singles,10,1880,28,0.0113233,True
0ff8c1ee-528e-4c6d-bce1-482df41ed488.singles,10,833,30,0.007286763,True
10049401-ba4a-4536-9a4c-c13acb83e75c.singles,10,27083,28,0.006407533,True
10115519-f0dc-48d3-99fd-3315eb2166d7.singles,10,563,29,0.058726681,True
101fa32a-2104-419a-b483-eeb75473269a.singles,10,3991,29,0.014761821,True
1094212a-b596-4c1c-9925-daec57556b39.singles,10,7112,30,0.009195112,True
10b74ead-3887-4115-9278-5617bf787fbf.singles,10,169,28,0.003643016,True
