instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
0ac13a15-25eb-400e-b408-4e5266c5dfea.singles,10,0.276241897,0.000525972,0.02287091,1.943e-06,1513,66,29,0,0,1,3,1
0b8d733c-6ece-40fc-b1a9-016d63631c17.singles,10,0.00328077,0.000526573,0.003517128,1.453e-06,117,59,28,0,0,3,2,0
0c1f4045-852d-4670-a94e-5f9ea656bb22.singles,10,0.077212889,0.000719857,0.079553487,1.784e-06,4915,67,29,0,0,1,2,0
0c756d85-8cde-47d2-9ffd-d6ec254b65b3.singles,10,0.004017174,0.000612525,0.034161075,1.533e-06,2285,67,30,0,0,0,4,0
0c9e4fb9-80d5-4b54-8806-dd6193aa8461.singles,10,0.004060545,0.000547822,0.041090802,1.724e-06,2949,64,28,0,0,1,4,0
0cb1617c-d5f2-461e-b536-b9c9291e4b8e.singles,10,0.003266943,0.000602285,0.021808026,1.422e-06,1543,64,30,0,0,0,2,0
0cba65d0-93ed-46fd-8d11-95d69c4c8999.singles,10,0.003394212,0.000549587,0.010583978,1.433e-06,572,65,29,0,0,1,0,0
0cfe26b0-b5dc-44f6-b70c-80200ee0b0eb.singles,10,0.004393766,0.000573861,0.00469548,2.053e-06,205,61,29,0,0,2,3,0
0d083bbc-22a2-467e-9276-c53a6c8f82b5.singles,10,0.00599842,0.000580374,0.010731879,1.262e-06,687,59,28,0,0,5,2,0
0d8a89c1-278f-4463-93d2-9590cbd04bf6.singles,10,0.006138221,0.000515562,0.006473041,1.453e-06,321,64,29,0,0,3,3,0
0dbc7239-83f1-4e22-87e7-5f9578106616.singles,10,0.003313901,0.000544196,0.012622424,1.483e-06,671,60,29,0,0,3,2,1
0dc65bfb-a217-4f1a-90cc-9df2ef395188.singles,10,20,0.000578861,0.12034163,0,8270,61,29,0,0,1,3,0
0de114b9-29a8-4c55-90ad-a739471c6fab.singles,10,0.00329683,0.000553232,0.035941959,1.342e-06,2618,57,27,0,0,1,2,0
0e5d7337-15d7-4076-89b6-e8a118590fe5.singles,10,0.004075282,0.000533907,0.003794924,1.382e-06,154,55,27,0,0,2,3,0
