instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
2ba8c737-ce34-4065-9fb9-2971abf7aedd.singles,10,1.142923036,0.000778327,0.114274711,4.768e-06,8053,62,28,0,0,1,3,0
2be4ecfa-661d-4fc3-9ad5-b2481cb558a3.singles,10,0.004763216,0.000611192,0.023027955,1.533e-06,1257,61,28,0,0,6,4,0
2c09d48a-2d31-4399-b67e-7ac93919ddf3.singles,10,0.005279799,0.000599861,0.020109902,5.139e-06,1175,64,30,0,0,1,3,0
2ca6acc9-e629-460f-b1d8-794f847ebe3e.singles,10,0.005980957,0.000622334,0.054669309,1.613e-06,3307,66,29,0,0,2,1,0
2cf185bb-456a-49ee-a1fb-7cab447953ec.singles,10,0.004279024,0.0006904,0.017653212,2.304e-06,1025,59,28,0,0,2,4,0
2d0b8f05-f52f-46f3-b5ae-ea1453ac86f8.singles,10,0.003245413,0.000591776,0.002033854,2.445e-06,51,60,30,0,0,1,4,0
2d54e146-a980-4468-991a-f229090185a6.singles,10,0.003274207,0.000535359,0.310361908,1.523e-06,21070,65,29,0,0,2,4,0
2d8ff86d-50fa-4a5e-925f-d5f83f79c859.singles,10,0.003278595,0.000567209,0.012786019,2.054e-06,688,60,29,0,0,2,2,0
2dae8ec4-9e19-417a-babf-066a093c6844.singles,10,0.003336624,0.000846667,0.017034207,1.482e-06,1062,60,28,0,0,2,2,0
2dd456a2-475a-4120-ac6d-8b6a3e5d1714.singles,10,0.004409725,0.000550618,0.057910492,1.743e-06,3938,64,29,0,0,1,3,0
2debcd01-4539-4531-98d4-68247bbe9250.singles,10,7.185398678,0.000573772,0.078758997,4.348e-06,5787,64,29,0,0,0,2,0
2e03e7ef-ee93-4f4e-8c5f-9dc12c25567a.singles,10,0.003409178,0.000598728,0.031585997,1.433e-06,2090,64,28,0,0,1,5,0
2e1f9489-4d61-42ad-a3ad-4ec459d459b0.singles,10,0.003300997,0.000560998,0.442729586,2.525e-06,26875,72,29,0,0,1,3,0
2e3f9be5-8474-4554-8533-a8478878ff06.singles,10,0.005136201,0.000771484,0.012958867,1.372e-06,991,64,30,0,0,0,3,0
2e95f61d-8c64-4ccd-a0e9-992e18db2b45.singles,10,0.003304123,0.000543845,0.022572793,1.463e-06,1395,64,28,0,0,1,3,0
2ed31391-3f16-44e6-bf9c-62ab99a03c23.singles,10,0.005076558,0.000657169,0.002614096,1.603e-06,61,57,27,0,0,2,4,0
2edf2bb7-d52b-4c4e-aba5-1e321948895f.singles,10,0.003263998,0.000598147,0.035873297,1.382e-06,2154,62,29,0,0,2,2,0
2f267297-2f64-46bb-925b-ce3b41a9366b.singles,10,0.003992598,0.000574633,0.016970096,1.353e-06,1038,65,29,0,0,1,2,0
2f3781ba-bb4c-4bd4-b79f-233984d2ca1d.singles,10,0.005375519,0.000570214,0.003738087,3.918e-06,158,65,29,0,0,0,1,0
2f877a6a-ea30-4710-bdbb-24cba0ff6696.singles,10,0.226239307,0.00053584,0.003092759,1.713e-06,134,57,26,0,0,0,2,0
2ff4e567-3567-408f-a0d2-663b2587941a.singles,10,20,0.000507507,0.004626491,0,206,61,29,0,0,1,3,0
3041641b-3dc1-4379-90d8-98494bc85332.singles,10,0.007282906,0.000503869,0.010002081,1.363e-06,685,62,28,0,0,0,5,0
304aeb53-b388-409d-85bf-a61d5663bf59.singles,10,0.003262726,0.000612133,0.01501273,3.777e-06,885,66,30,0,0,4,2,0
3079b68b-a746-4b22-a955-dfe7fab73f43.singles,10,0.010910664,0.000557651,0.050948448,1.673e-06,3390,64,29,0,0,1,4,0
30ba4e57-4df4-4c9d-89d7-351bf9814ec3.singles,10,0.004179565,0.000568702,0.212077932,1.593e-06,15206,68,30,0,0,2,4,0
30e7e8c5-f18a-4758-a22a-6e42ca465a7a.singles,10,0.004072087,0.00063721,0.009606508,1.523e-06,476,63,29,0,0,1,4,0
30ec3df4-ee61-4adb-8b5a-6f6e86228cb7.singles,10,0.003171746,0.000553884,0.010863143,1.273e-06,610,58,27,0,0,2,3,1
31b56da1-3f67-4961-904f-4b8e72df0210.singles,10,0.009363847,0.000518267,0.127295638,1.723e-06,8453,61,28,0,0,1,3,0
31f5f844-333c-47e3-9d24-b3dc5e3c5eff.singles,10,0.003434286,0.001020684,0.035554216,1.463e-06,1251,67,29,0,0,1,2,0
31fd041e-08ad-4a71-b113-f3f3dcce22da.singles,10,0.00320057,0.000579302,0.151021008,1.343e-06,9309,65,27,0,0,0,3,0
3209e2f3-d687-4006-8474-bd67de437cab.singles,10,0.007340031,0.000685792,0.016105346,3.957e-06,801,62,31,0,0,2,3,0
329cecb9-b1dd-4b82-bbf8-ed031b82a0b6.singles,10,0.019144274,0.000549536,0.028396594,3.436e-06,1495,64,29,0,0,2,4,0
32a06f11-7d00-4eec-9779-be0ec4b8250b.singles,10,0.003299124,0.000622013,0.003814198,1.402e-06,122,60,29,0,0,3,4,0
32cb4dcf-4dcf-4aa8-a1b7-6cf0e5a949e5.singles,10,0.004164918,0.000561989,0.008370287,1.663e-06,358,62,30,0,0,5,3,1
32d21fa8-3147-4dd8-838c-913fdaa0793e.singles,10,0.003329411,0.000585925,0.006657448,1.803e-06,169,65,28,0,0,1,3,0
33356b7b-ba93-4eaf-8c9d-07e86f86e003.singles,10,0.003395243,0.000869179,0.022152154,3.406e-06,1127,59,28,0,0,2,4,0
33ad8e57-7e2f-4dee-9bf2-7c3d8ec8df69.singles,10,0.006380413,0.000632552,0.010765914,1.392e-06,363,66,30,0,0,1,3,0
33cf4808-5771-458b-b25b-674185b242ec.singles,10,0.005828012,0.000629867,0.044182678,1.542e-06,1615,66,29,0,0,1,3,0
34a03875-b8d2-42d7-a9d5-5577cb37f167.singles,10,0.003292413,0.000592948,0.007960755,1.363e-06,382,63,29,0,0,1,0,0
34d48792-c234-4180-9255-0fd1dc27d2f2.singles,10,0.003283405,0.000592428,0.075127127,1.653e-06,5268,67,28,0,0,2,3,0
34f82d4a-2ba4-4391-b9e9-d54a4758f876.singles,10,0.004243105,0.000547261,0.003525706,2.375e-06,156,59,28,0,0,1,2,0
3531bc28-1188-43a9-bf29-6c9d401ce3ca.singles,10,0.006006755,0.000545407,0.07073234,1.593e-06,4896,64,29,0,0,1,4,0
35624a2d-01c5-45fd-860b-189eee05096f.singles,10,0.003349678,0.000552351,0.005838294,1.783e-06,188,56,28,0,0,4,3,1
35fa22d3-4f33-4e23-8bfe-bb58035b8ebb.singles,10,0.003297401,0.000633535,0.045386436,1.523e-06,2701,66,29,0,0,1,2,0
36291c4c-e7da-463e-bb1f-f057c8c4ec29.singles,10,0.003306489,0.000559435,0.019156947,1.713e-06,1218,64,30,0,0,1,1,0
36889813-7029-4d37-8f2a-b3203303ad09.singles,10,0.003192777,0.000582818,0.051661647,1.423e-06,3182,70,31,0,0,4,3,0
37a4f071-4b9e-4721-9b7e-5b03546a2f78.singles,10,0.003917677,0.000554707,0.013785886,1.432e-06,861,60,27,0,0,1,3,0
3873ff83-e86b-4a0c-bd83-2038246f38dc.singles,10,0.003260682,0.000520561,0.024796919,1.423e-06,1943,62,30,0,0,1,3,0
3911de15-e3b2-4943-a866-2c9738f20456.singles,10,0.016334561,0.000547502,0.012724627,2.024e-06,896,63,28,0,0,0,2,0
3930c9cb-4fe2-49be-91ab-9c344a2ef803.singles,10,0.003289396,0.000524498,0.005353451,1.613e-06,223,62,29,0,0,2,3,0
3978251d-e4a9-47cd-923f-965e7c23a174.singles,10,0.004891695,0.000521783,0.159225987,3.337e-06,7706,63,30,0,0,2,1,1
3986da07-cec2-4cc4-a777-2f041dca2120.singles,10,0.003272926,0.000562049,0.070358425,1.383e-06,5519,68,29,0,0,1,2,0
3a67e1d8-4903-4acd-9a52-9a35e6814f08.singles,10,0.005893124,0.000555548,0.020325958,1.303e-06,1238,65,28,0,0,1,2,0
3aca6e02-62c3-40a2-a836-5393e1dd9e5c.singles,10,0.031633739,0.000552512,0.049830791,1.643e-06,3513,60,28,0,0,1,1,0
3b164978-bdc0-422c-abb6-bf036c3de996.singles,10,0.003358414,0.000608266,0.005629851,1.562e-06,298,64,30,0,0,0,2,0
3b3a108a-14cb-470b-bc66-ddd279aa0c97.singles,10,0.010777253,0.000511524,0.003019453,1.924e-06,106,57,27,0,0,2,3,0
3b8657a2-543d-4608-be70-023bece043dd.singles,10,0.013805082,0.00050946,0.041182596,4.308e-06,2533,65,30,0,0,0,4,0
3caafe0e-ea69-4d57-87e7-ef8574aee47c.singles,10,0.003402478,0.000569864,0.005720613,1.422e-06,269,63,29,0,0,3,4,0
3cb0ed2d-5579-44c6-9735-b48d24520fee.singles,10,0.009546777,0.000510282,0.077780887,1.603e-06,5363,64,28,0,0,1,2,0
3cb8d056-389c-49bf-a5e0-bcf900225748.singles,10,0.006597458,0.000543324,0.01949037,2.314e-06,1518,57,27,0,0,4,2,0
3d39948d-f531-4541-a553-7dac5c1a59d5.singles,10,0.004031261,0.000532474,0.088419899,4.027e-06,6259,68,29,0,0,2,2,0
3d726825-b70a-4700-84cc-f6e56f3f74ca.singles,10,0.003517554,0.001007218,0.011737724,1.403e-06,472,60,29,0,0,0,2,0
3da022ca-d4f2-4660-b5dd-b6d081e42cd1.singles,10,0.003274758,0.00100297,0.046413279,1.563e-06,2665,65,29,0,0,3,3,0
3dd74bd6-ba4d-49ec-86f5-5566a1d7844c.singles,10,0.007491778,0.000624657,0.00579902,1.392e-06,255,61,30,0,0,0,3,0
3e7fedce-f5c7-46d3-b708-9be99cfb9ad4.singles,10,0.003277153,0.000616001,0.077361839,4.158e-06,5977,66,30,0,0,3,1,0
3ea29376-063b-4a5c-bf09-34e435809078.singles,10,0.093858584,0.000550267,0.033567077,4.038e-06,2552,62,29,0,0,1,4,1
3f2da778-97da-4b14-abb8-a536b206d816.singles,10,0.004137959,0.000554846,0.003732345,1.373e-06,139,59,27,0,0,4,3,0
3f519177-5d9d-4b5d-92c5-7d5ec39d7db4.singles,10,0.005786645,0.00050405,0.141423367,1.352e-06,10209,65,29,0,0,1,5,0
3f7aa0c2-6c53-4275-b018-e928e69f3973.singles,10,0.003373955,0.000577319,0.018584968,1.773e-06,1341,64,29,0,0,1,3,0
3f8d0a48-9dfd-41cd-95c5-6f32dea31fec.singles,10,0.003233173,0.000546901,0.00372464,1.563e-06,130,61,28,0,0,0,2,0
3fa68671-10bb-4eb5-8b48-eae048167447.singles,10,0.39330227,0.000508599,0.018981046,1.823e-06,1143,64,30,0,0,2,4,0
3fb9935e-c692-4046-a04e-ebd3b4444586.singles,10,0.003253749,0.000559204,0.025064072,1.282e-06,1707,63,28,0,0,3,4,0
3fbaefbc-5a04-4a1b-8995-3dbd6e9f9c16.singles,10,0.003269779,0.000565526,0.004813741,1.302e-06,257,61,29,0,0,0,2,0
3fc1b705-3f7e-4fb5-9651-9a658efa1803.singles,10,0.004074462,0.00050422,0.077623853,1.422e-06,4955,64,28,0,0,5,2,0
404c7a94-4f98-442e-abd0-d97b382444a8.singles,10,0.003251726,0.000587087,0.009350937,1.403e-06,583,65,29,0,0,0,4,0
404e15fd-43a6-4c88-9537-ec156d6c9923.singles,10,0.01157371,0.000554505,0.039789187,1.563e-06,2745,61,29,0,0,3,2,0
40a2576b-e961-4558-8dbf-74ff293959ef.singles,10,0.008233398,0.000561459,0.054537197,1.943e-06,3729,66,30,0,0,1,3,0
40bde607-f94e-45cb-b004-eb40eb963196.singles,10,0.015845472,0.00056757,0.005428461,1.734e-06,271,66,28,0,0,1,2,0
40e42c30-ee07-4fa4-b39b-982787a62926.singles,10,0.004129213,0.000510442,0.007866037,1.332e-06,509,62,30,0,0,0,2,0
411c8bda-3974-42c8-9e73-aebb225526e7.singles,10,0.003374867,0.000529648,0.003232603,1.463e-06,152,60,28,0,0,1,4,0
419caf5e-b567-4f2a-8499-17806c66f1e3.singles,10,0.005291139,0.000518076,0.029269881,1.342e-06,1637,65,29,0,0,2,3,0
41bdad01-d40f-418a-bb7b-e6e8a520d625.singles,10,0.008944345,0.000550277,0.009262989,1.523e-06,520,61,28,0,0,4,3,0
41c29d46-e0bd-4000-9a1b-d9d055d2b2f2.singles,10,0.006787743,0.000535298,0.005707418,1.673e-06,284,63,29,0,0,0,3,1
41d0c8ca-b9cd-45c7-a624-e6bc729e93db.singles,10,0.011646202,0.000515602,0.078717677,1.973e-06,4809,67,30,0,0,1,1,0
4231a793-721b-4702-b9dc-35eebd89cf40.singles,10,0.109975879,0.000583371,0.019554729,1.673e-06,954,62,28,0,0,1,4,0
424a2cff-f16a-4b32-a01b-af8e1fc9fbd1.singles,10,0.003285599,0.000667037,0.007705626,1.522e-06,329,61,28,0,0,3,3,0
42532c73-1a34-4deb-b124-c33202fd196e.singles,10,0.005110182,0.000571517,0.015896822,1.663e-06,1024,61,29,0,0,5,2,0
426fb34b-e785-40ff-95c1-89a0029cadd8.singles,10,0.006597748,0.000717893,0.00400583,1.543e-06,158,63,30,0,0,5,3,0
42b0f7ef-0006-4d38-bc95-5fbc82fc914a.singles,10,0.026313618,0.000920095,0.033431578,5.12e-06,1809,61,29,0,0,2,2,0
42f96aeb-b7b3-4ca2-8cff-6e7a3a5cb354.singles,10,0.00325386,0.000610963,0.011114336,1.493e-06,522,65,30,0,0,2,2,0
42fd673f-2965-484d-a7b3-a4507a8f725e.singles,10,0.005214459,0.000693337,0.011446873,1.323e-06,562,61,29,0,0,4,3,0
4363bd6a-1a11-467e-a0ad-1b24106995bb.singles,10,0.004830432,0.000574232,0.003217494,1.333e-06,133,61,29,0,0,0,3,1
43696c51-1f7c-4ad5-9180-d4c7d5b9d1bf.singles,10,0.003261586,0.000510142,0.025711278,1.533e-06,1645,63,29,0,0,1,2,0
43cbee97-063f-491d-b47d-585da755e225.singles,10,0.057861971,0.000550216,0.008721857,2.354e-06,473,56,27,0,0,0,3,0
43d9dd5d-fe8c-4edd-85d8-346770232d5e.singles,10,0.003321996,0.000585023,0.002151556,3.707e-06,50,62,29,0,0,3,4,0
43fb35fd-2ad2-4b01-a6a0-c0b537deafba.singles,10,0.01311301,0.000543444,0.187392696,1.543e-06,14339,67,29,0,0,3,3,0
44021bef-73b9-4175-98ee-1f14c12caa8a.singles,10,0.003237269,0.000595763,0.054961522,1.433e-06,3894,63,29,0,0,2,4,0
44093f15-d06e-4418-8356-b8e13a57ec92.singles,10,0.006487473,0.000539767,0.011419718,1.362e-06,751,62,28,0,0,3,3,0
441ba13b-5d83-4287-b02c-2497815283d9.singles,10,0.052546982,0.000563702,0.058852277,1.723e-06,4752,62,29,0,0,4,4,0
4427fad5-ce84-4b3a-90df-61e2db73446b.singles,10,0.00591775,0.000579542,0.020239029,1.553e-06,1064,67,29,0,0,2,3,0
446fbec7-e0b9-499a-90d1-b004f9e6ab4e.singles,10,0.003257638,0.000529548,0.451880357,1.423e-06,33935,68,31,0,0,2,3,0
44779ab8-e192-4959-bfae-061061b8644b.singles,10,0.004840278,0.000570926,0.003459863,1.433e-06,129,55,29,0,0,1,3,0
4486d872-2f27-427a-86eb-7a6a4761e208.singles,10,0.003233561,0.000537413,0.006324974,1.312e-06,319,61,30,0,0,0,4,0
44bc3a1e-c3cc-4ce2-9ec5-41bbdfa7c147.singles,10,0.003903301,0.000566658,0.015028648,1.463e-06,907,64,29,0,0,3,2,0
44f9be4e-fcb7-41e6-836e-52265d3264aa.singles,10,0.003308501,0.000543846,5.670105543,1.603e-06,388516,62,27,0,0,1,2,0
452e8c1b-2f67-4248-821a-f7377223b5ca.singles,10,0.004041278,0.000558703,0.010348927,1.422e-06,581,63,29,0,0,1,2,0
45714564-64c2-4fb2-9555-da1b74025984.singles,10,0.007261147,0.00055208,0.084692666,1.553e-06,5171,68,29,0,0,3,2,0
45aa4908-9535-4ea4-a1b4-cbec46ed6183.singles,10,0.02690736,0.000550968,0.020732013,3.386e-06,1353,63,29,0,0,2,2,0
45c95ba1-85bb-433a-b33c-6a382fbd1f8d.singles,10,0.005209466,0.000538545,0.007308815,1.322e-06,418,61,28,0,0,4,3,0
46c74a23-9c7e-4554-9ac6-f61186196d5d.singles,10,0.006301004,0.000639185,0.106454337,1.633e-06,7149,64,31,0,0,1,2,0
47029695-5d74-4339-ab63-16eb18685d49.singles,10,0.010040223,0.000547902,0.228996757,1.643e-06,15807,69,29,0,0,2,1,0
477c46f6-c7c4-4b3c-84a6-0148f27fd9fa.singles,10,0.003318841,0.000564504,0.003134207,2.124e-06,117,62,29,0,0,1,2,0
47b051e8-517f-4a00-b59f-8608162074f2.singles,10,0.003167649,0.000490564,0.02123211,1.182e-06,1314,65,30,0,0,3,4,0
47bede37-b838-4b04-b3a8-e64ebcedca36.singles,10,0.003328738,0.000520031,0.003701927,1.613e-06,192,62,28,0,0,0,2,0
47e05e8d-d82e-40f5-ade0-10f15a5b51be.singles,10,0.003241926,0.000544276,0.025727642,1.503e-06,1731,65,29,0,0,0,4,0
481e6931-82a8-4cd9-b01a-782789e7841c.singles,10,0.003255382,0.000527854,0.045190504,1.392e-06,3325,63,28,0,0,1,6,0
48d9b7b7-aff1-43fe-8f74-b944faa9a781.singles,10,0.003282153,0.000538184,0.0080313,1.593e-06,377,61,28,0,0,1,1,0
48dcf1fd-b167-40d4-9b08-c04db198779a.singles,10,0.158994378,0.000584512,0.695873454,1.432e-06,50164,63,28,0,0,0,3,0
49303b2d-5f7f-4125-ba06-469cc6b8236f.singles,10,1.95911246,0.000634947,0.010501212,1.813e-06,481,60,28,0,0,0,2,0
493907b2-cc33-4f14-8bab-a21fdc4c489c.singles,10,0.004087454,0.000503229,0.05330904,1.302e-06,3536,66,30,0,0,2,3,0
4981b9b3-b2df-4a58-b2e1-e018b11e696f.singles,10,0.721584217,0.000590283,0.003892446,1.583e-06,202,55,27,0,0,3,2,0
499e6564-652f-4538-8be7-ef8df3e671ff.singles,10,0.006056228,0.00049362,0.017540881,1.383e-06,1486,59,28,0,0,2,2,0
49cc3598-2c11-4b25-8d48-013bf2ff48e7.singles,10,0.00322211,0.000582077,0.010812943,1.423e-06,633,63,28,0,0,0,3,0
4a2833f4-cfaa-4f49-a856-dd0c3e7d5162.singles,10,0.011206462,0.000562921,0.001673585,1.523e-06,42,61,28,0,0,1,3,0
4a388584-64f1-4e83-baba-e80f4146bc4a.singles,10,0.004981783,0.000540228,1.12929969,1.353e-06,83125,66,30,0,0,1,2,1
4a726841-f34f-404f-8414-17897a8502f5.singles,10,0.003305748,0.000604329,0.008110048,1.593e-06,460,63,28,0,0,3,4,0
4aa3a623-68b0-4004-8612-30297b87e6e5.singles,10,0.005701116,0.000527094,0.00900404,1.573e-06,538,63,29,0,0,2,2,0
4aee8b3a-79f9-4417-ab2a-8978ff638c78.singles,10,0.003422445,0.00057865,0.015480867,1.483e-06,998,64,31,0,0,3,3,0
4af55af0-0d15-40c9-a3c5-33be455a0c4c.singles,10,0.00342075,0.000554655,0.053136689,1.833e-06,4177,67,30,0,0,1,3,0
4b33f2b9-2a09-4b12-8e5b-7a03411409c2.singles,10,0.019991099,0.000558343,0.102564837,2.004e-06,8006,65,28,0,0,1,2,0
4b59822a-c079-40fc-9537-1de190bb4754.singles,10,0.012047005,0.000548344,0.013416368,1.483e-06,653,64,29,0,0,2,1,0
4c24d764-f7ad-4a39-84ee-8ee0ab5cf032.singles,10,0.003203765,0.00056804,0.002582688,1.482e-06,79,60,30,0,0,1,3,0
4c486be8-1208-4e17-b8d0-f85b7ae7fb34.singles,10,0.003222041,0.000561379,0.008192455,1.543e-06,304,63,28,0,0,3,3,0
4cb73496-9f7f-40b6-b3c1-4578653ba323.singles,10,0.007337007,0.000518196,0.01846417,1.643e-06,1293,65,30,0,0,0,4,0
4cf0c413-424f-4df2-91d9-ffdc2339d93c.singles,10,0.003390223,0.000537042,0.065486478,1.483e-06,3946,66,31,0,0,2,2,0
4d3a5cc8-a42c-4f9a-b7c8-2a0f0b0a24c0.singles,10,0.004116809,0.00054602,0.900845905,1.633e-06,61819,67,30,0,0,3,3,0
4d3d4083-5828-493f-b651-ea46cbbe806b.singles,10,0.015405647,0.000798885,0.049380049,1.513e-06,3069,61,29,0,0,2,2,0
4d62d7e2-d6b0-40ec-9d2f-9fb9f758fa74.singles,10,0.003292591,0.000704839,0.042409024,1.443e-06,2883,67,30,0,0,3,1,0
4da09f91-0799-4ea7-a6ae-afcab6bc0db1.singles,10,0.005967763,0.000559034,0.013997112,3.386e-06,941,65,30,0,0,4,2,0
4dbed8fa-fa74-4dbb-b4e1-1b7fc6427314.singles,10,0.005310346,0.002338576,0.026926459,3.246e-06,1695,61,28,0,0,1,1,0
4df70ab4-8144-440f-8a1a-c1d1ff6cd361.singles,10,0.081259269,0.000609298,0.012662016,1.773e-06,802,62,30,0,0,2,5,0
4df9ec38-a467-4204-9cab-15ea3d4fceb9.singles,10,0.006307959,0.000788416,0.00917716,1.713e-06,411,66,30,0,0,1,2,0
4e78515e-0c0b-4519-8531-5d159cb9f4bc.singles,10,0.004639817,0.000585674,0.001151822,2.4436e-05,16,56,29,0,0,1,3,0
4fd677a5-016f-4adc-a444-e495696ef169.singles,10,0.003231418,0.000559935,0.013974662,1.432e-06,661,65,29,0,0,0,3,0
50576ac9-1b34-4de6-bdf0-f602994e18fb.singles,10,0.005041264,0.000635838,0.150408006,2.585e-06,6928,64,30,0,0,2,2,0
508b4730-e7f8-4784-8ede-1c1d44f3d4c5.singles,10,0.22225058,0.000573862,0.030307906,1.714e-06,1955,66,29,0,0,0,2,0
50aedb5c-44e7-4760-bd66-ae294fb7c157.singles,10,0.01295603,0.000579733,0.267325997,2.204e-06,20794,63,28,0,0,2,2,0
50dfe9e6-dbf5-40ef-a60e-3aa8aa63e257.singles,10,0.006409587,0.000619407,0.10021001,1.402e-06,8360,60,27,0,0,3,3,0
511396d7-a1c1-482d-b92f-0bddba1702ad.singles,10,0.003915144,0.000551781,0.021933735,1.613e-06,1411,63,27,0,0,1,3,0
514e97f2-3bd7-46d0-bcd6-d9b99e58e81d.singles,10,0.003268207,0.000638284,0.007601818,1.563e-06,318,62,29,0,0,1,4,0
516dc074-2276-44ba-9ca2-4e9d5b8605e3.singles,10,0.010951918,0.000576496,0.004922447,1.543e-06,184,56,28,0,0,4,3,0
5186d989-2c5c-4312-a9fc-cb9804759d24.singles,10,0.003175994,0.000558623,0.011218235,1.413e-06,508,68,29,0,0,1,4,0
51fde7d8-6b23-4966-b03f-266d0fba4792.singles,10,0.007358326,0.000613918,0.003852551,1.563e-06,156,60,29,0,0,0,0,0
520c555c-34ca-4cb7-bb49-295656d81174.singles,10,0.0047171,0.000529819,0.003600224,1.433e-06,162,60,28,0,0,1,4,0
524c016c-a77d-495b-bfec-ad78e685a200.singles,10,0.003851596,0.000503489,0.005113347,3.496e-06,286,65,31,0,0,1,5,0
52700bed-c158-458f-b068-9fe4f2f84fde.singles,10,0.003290949,0.000528516,0.002980667,1.432e-06,127,66,30,0,0,4,3,0
52ab6ef5-b73f-4311-a51e-075cfe7fe0a8.singles,10,0.021530977,0.000596735,0.009832274,1.472e-06,584,60,30,0,0,1,3,0
52ec8775-5889-4a2d-b8bf-474ef7f2f939.singles,10,0.003262928,0.00050393,0.016373735,1.292e-06,989,67,30,0,0,2,3,0
52fc7ae0-39d7-4347-87c4-2fa85ef478b9.singles,10,0.004985441,0.000531322,0.024403452,1.453e-06,1243,65,28,0,0,1,1,0
5344a0c7-b29d-414c-be31-a00dd58d9e18.singles,10,0.006784715,0.0005617,0.601653068,1.503e-06,45660,64,28,0,0,1,4,0
5370e4cb-acc4-4632-a47d-7d409c295dfb.singles,10,0.019446456,0.000574172,0.005095473,1.523e-06,259,59,27,0,0,3,2,0
539b373b-53cc-48b0-8ef0-2af4c7dc75c9.singles,10,0.006137318,0.000508619,0.008972414,1.884e-06,544,63,28,0,0,1,3,0
53bafc85-02b6-431f-a26a-7942ae90dc23.singles,10,0.006001876,0.000677166,0.028223637,1.413e-06,1882,68,29,0,0,3,2,0
53e97365-3192-4d9c-b235-76b0d4aa4669.singles,10,0.00327004,0.000543144,0.00751678,1.413e-06,488,61,28,0,0,1,3,0
5425eac3-8797-4da0-aea5-fafea8b083b4.singles,10,0.00543523,0.000509381,0.012896769,1.352e-06,665,61,29,0,0,4,2,0
555d0f78-dba9-4353-b956-5b38c9b4e257.singles,10,0.003289947,0.000558583,0.020506433,1.433e-06,1204,63,30,0,0,1,3,0
55df13f7-8aac-4456-ac1d-e1942929357f.singles,10,0.006010873,0.000574723,0.029096609,1.322e-06,1886,63,29,0,0,2,2,0
5648fd82-1423-43a1-807c-7d6dbed80c66.singles,10,0.006962967,0.000814464,0.019017045,1.393e-06,1123,63,29,0,0,4,2,1
56836379-7a67-4e2a-baf5-7c5f430a93f6.singles,10,0.003236626,0.000517104,0.026506621,1.303e-06,1743,65,29,0,0,1,3,0
5693906f-bac0-4d3a-9aeb-eca817261296.singles,10,0.004067417,0.000553503,0.015769215,1.714e-06,770,62,30,0,0,3,2,0
56a2ef10-433b-4e3a-a4d3-e6c565f7ba98.singles,10,0.006263086,0.000622322,0.294317399,1.492e-06,18344,62,29,0,0,2,2,0
5730b9d4-a08b-4d64-8b21-59cc1e226525.singles,10,0.003255151,0.000554536,0.006118732,1.533e-06,315,62,30,0,0,2,3,1
5795c7bf-d6ea-4304-8ce1-adc53800030e.singles,10,0.003247499,0.000502196,0.004680372,1.272e-06,171,60,29,0,0,0,4,0
57997253-5330-4f22-82e7-741bb502b682.singles,10,0.003370087,0.000501355,1.487340792,1.532e-06,108125,69,30,0,0,1,3,0
579da4b4-b3a6-40ed-8aa7-059d3a43b847.singles,10,0.047496696,0.000591444,0.003015445,1.533e-06,136,57,28,0,0,2,3,0
57bbe928-c5b7-438c-8224-7b8af3481eda.singles,10,0.006683308,0.000546861,0.017363498,1.432e-06,1231,60,27,0,0,2,2,0
5835a888-b0c0-4bb7-ad35-efc219aaf179.singles,10,0.003275099,0.000532033,0.017597428,1.513e-06,974,70,31,0,0,4,3,0
58b64477-3e7a-4e3c-a84e-5a3e0b806403.singles,10,0.003282402,0.000545297,0.169656795,3.417e-06,14224,62,27,0,0,3,2,0
58d202a8-36a7-410b-9d51-6f4c2e928881.singles,10,0.015964693,0.000574002,0.017396277,1.442e-06,1020,62,29,0,0,3,2,0
5a0429ad-e3d3-4700-a09f-f019cd13723f.singles,10,0.004025408,0.000550468,0.017813119,1.463e-06,1289,64,29,0,0,1,4,0
5a0509df-9313-4613-9f20-0da7fc34199c.singles,10,0.006534919,0.000519189,0.050870403,1.834e-06,3776,60,29,0,0,2,3,0
5b1336d0-99cb-4c15-a7c3-dba3f8d91512.singles,10,0.004858081,0.00055186,0.004283193,1.352e-06,210,59,27,0,0,2,2,0
5bf2544e-8889-4f48-bdb3-0cd739085933.singles,10,0.003271864,0.000536391,0.00759806,1.383e-06,375,63,30,0,0,1,2,0
5c29856b-1930-4830-bee7-25b8ca5fcec7.singles,10,0.068892362,0.000533364,0.076960477,1.774e-06,6156,64,29,0,0,2,3,0
5c72a26f-bb15-47d6-bb0f-c2f990c87195.singles,10,0.003193647,0.000575635,0.32773266,1.362e-06,20016,62,29,0,0,3,3,1
5c98c30c-f8b9-49bd-a2f7-607b854c30fd.singles,10,0.005975847,0.00058376,0.006330772,3.206e-06,341,62,29,0,0,0,3,0
5c9c3db6-3960-4269-aa0e-134d80cbb3f2.singles,10,0.008379121,0.000669712,0.047388141,1.663e-06,3156,64,30,0,0,2,1,0
5cbe5ef5-e075-4463-bfbb-6307ee8fcd44.singles,10,0.003931665,0.000583771,0.028182372,1.413e-06,1597,66,30,0,0,2,4,0
