instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),time illegal solutions (s),iterations,number_of_runs_for_time_data,number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
db8bf8e7-4446-41ea-9fb4-49f728190dee.singles,6,0.067477624,0.00024060677000000005,0.0010821050699999996,2.345e-06,0.00224394863,3,100,39,22,10,0,0,0,3,0
db8df71f-8c49-483d-8303-5a9e37552c7a.singles,6,0.077339538,0.00023741695,0.00160421326,1.773e-06,0.0005724852099999999,1,100,86,22,9,0,0,1,1,0
dbe330e6-f15a-448a-978d-c2c9804998af.singles,6,0.042266935,0.00023430150999999993,0.0011272007099999994,2.164e-06,0.0004975078000000002,1,100,50,21,10,0,0,0,2,0
dc258db0-21f2-4b02-be7b-2da0d6c9a781.singles,6,0.047692987,0.00023320033999999997,0.00043308115000000014,2.905e-06,3.2916230000000024e-05,0,100,6,20,11,0,0,1,3,0
dc54ad05-ba8f-41b8-afd1-b83514d937a4.singles,6,0.038350912,0.00023851776000000002,0.0018980712500000008,1.914e-06,3.3541679999999996e-05,0,100,111,22,9,0,0,0,1,0
dc59c937-c35b-41b8-9862-5fba8745eed8.singles,6,0.043109122,0.00023253812000000002,0.0004617951100000003,2.124e-06,3.356046e-05,0,100,6,19,9,0,0,1,3,0
dcd642af-e360-4ae5-b981-eb91bc2a07e2.singles,6,0.040729285,0.00023670769,0.0005086098900000001,2.464e-06,3.3811699999999993e-05,0,100,7,20,10,0,0,1,0,1
ddd032f4-f430-4921-934e-f52bca0f19d4.singles,6,0.065063879,0.00023214108,0.0012393851299999999,2.134e-06,3.294533000000001e-05,0,100,62,21,9,0,0,1,1,0
ddd73a51-4698-4d30-b4b9-f30e506c32b4.singles,6,0.040775251,0.0002326561200000001,0.0009254149300000006,2.855e-06,3.3201459999999994e-05,0,100,30,22,9,0,0,0,0,0
de17553b-0cb9-4228-8092-4a43751151b1.singles,6,0.042576495,0.0002354443700000002,0.0021751429399999994,2.033e-06,3.300228999999999e-05,0,100,126,25,11,0,0,1,1,0
de274ddc-6aa8-4186-b948-7155147e2387.singles,6,0.073531729,0.00025368286,0.00048858931,1.923e-06,0.010075674079999996,9,100,6,18,9,0,0,0,2,0
de277530-ff88-49a1-bdb4-62d97d590360.singles,6,0.043008709,0.00023237547999999992,0.0007397859700000002,2.745e-06,3.330921e-05,0,100,15,24,11,0,0,0,2,0
de422f65-2169-4949-bc02-44b7583d439a.singles,6,0.043644562,0.0002316655500000001,0.00039942356,2.685e-06,3.3387050000000014e-05,0,100,4,20,10,0,0,0,3,0
de5220d2-e99d-48e6-aa82-20bfac6959c4.singles,6,0.049185726,0.00023427802,0.0004398946499999999,2.154e-06,0.0009309610500000001,2,100,5,20,11,0,0,0,1,1
de651b83-c475-4dfc-988c-7a51b165c950.singles,6,0.03853105,0.00022867310999999995,0.00023460771999999998,2.024e-06,3.2702090000000006e-05,0,100,1,18,11,0,0,0,0,1
de88cc1f-0f33-4cf8-b067-d90bdc019004.singles,6,0.038740358,0.00023503932999999997,0.0005851175400000001,2.234e-06,3.431571999999999e-05,0,100,10,19,9,0,0,0,1,0
df0b89df-94a4-45fc-aed1-93a977669c46.singles,6,0.039895818,0.00024177480000000005,0.0025572488700000002,2.344e-06,3.577341999999999e-05,0,100,123,26,11,0,0,0,2,0
df0c90b7-12b4-46f1-b870-adf95dedba12.singles,6,0.05447103,0.00023782552000000006,0.0035376187999999987,2.414e-06,3.630607e-05,0,100,268,24,10,0,0,0,1,0
df132306-2b2a-4491-a13c-3b0261a17df2.singles,6,0.034813681,0.00025879474999999995,0.0011893724100000003,2.295e-06,0.0027271195799999986,5,100,35,23,11,0,0,0,2,0
df2320bb-9741-4c82-8f6e-403f36513b49.singles,6,0.050578615,0.00023760049000000002,0.00050782569,1.563e-06,0.0013825613800000002,3,100,6,19,9,0,0,0,2,1
df305505-abaf-4681-bb65-b1c4141b5d1d.singles,6,0.097062868,0.00023235381999999998,0.00097032313,2.324e-06,3.2782170000000004e-05,0,100,37,20,10,0,0,1,2,0
dfd5bbb7-455b-4538-abbb-d8f99cf98c8d.singles,6,0.050638935,0.00024293769000000007,0.0010926933600000001,1.834e-06,0.0012134591500000001,2,100,39,21,10,0,0,1,3,0
e0780056-edf4-4473-83d4-c013b2a8654e.singles,6,0.045846575,0.00023807153000000001,0.0010592990999999997,6.21e-07,0.002402670669999999,5,100,30,23,11,0,0,0,1,0
e083217f-4bf5-4f92-a1b5-eabe1f2960db.singles,6,0.041445076,0.00023884534000000006,0.00076875328,1.984e-06,0.0009239636,2,100,15,21,10,0,0,0,1,0
e0a2d9a8-2910-432c-90be-48c215735842.singles,6,0.038809288,0.0002460392400000001,0.0031326565700000005,2.174e-06,3.596389e-05,0,100,191,27,11,0,0,0,1,0
e1429a1e-3f60-41c0-9e12-28ea23438c56.singles,6,0.035896533,0.00024257517999999999,0.002292940569999999,1.692e-06,3.3829670000000004e-05,0,100,147,25,10,0,0,0,3,0
e1a8decc-99dc-4f7a-b315-80366c9335db.singles,6,0.064549541,0.00026915930000000004,0.0009460611699999997,3.026e-06,0.01204374298,13,100,24,21,10,0,0,0,2,0
e1cf2cea-297c-43e7-af3c-29dec15bb385.singles,6,0.040622366,0.00026319022,0.0015751161200000014,2.685e-06,0.0008334712000000004,2,100,52,24,10,0,0,0,1,0
e216c907-aa78-4d45-850e-662a150cc81c.singles,6,0.037723055,0.00024205972000000003,0.00212949882,2.024e-06,3.363719999999999e-05,0,100,126,25,11,0,0,0,1,0
e2440811-b16f-42ae-9d7f-078aefd7c926.singles,6,0.040447589,0.0002445119800000001,0.0014339883799999998,2.304e-06,0.0034868789999999983,4,100,52,23,10,0,0,0,2,0
e2825bf3-1af3-40d9-9077-0d08b7469d30.singles,6,0.073664596,0.00023234221000000007,0.00039812838999999994,2.184e-06,3.232431000000001e-05,0,100,5,18,11,0,0,1,1,1
e28b4a11-4252-4549-aed9-878e51b20536.singles,6,0.043385769,0.00023271278000000018,0.0008042651700000002,2.715e-06,0.00038112583999999996,1,100,19,22,10,0,0,0,1,0
e28fe50d-6119-4416-9bba-212d7b700364.singles,6,0.035680796,0.00025415922,0.0021128104899999995,2.184e-06,3.249791000000001e-05,0,100,125,25,11,0,0,0,2,0
e2964171-54d1-44d2-b56f-14192b772f99.singles,6,0.036921535,0.00023682603000000008,0.0014961275499999996,2.004e-06,3.348176e-05,0,100,57,23,10,0,0,0,2,0
e2e2485f-f0e2-4c01-9ce1-6dc2002e9f3a.singles,6,0.041386402,0.00023675618000000006,0.0019064239900000001,2.675e-06,3.3504700000000005e-05,0,100,86,26,11,0,0,1,1,0
e330e226-cef2-449f-a902-9d39474bb2ea.singles,6,0.043192368,0.00023422732000000001,0.0008969366300000005,2.235e-06,3.3481429999999996e-05,0,100,23,25,11,0,0,0,1,0
e33d0be8-4905-4369-8eb2-c7d0c96c6c76.singles,6,0.034438659,0.00023273876999999993,0.0006696715499999996,2.354e-06,3.325502000000001e-05,0,100,11,21,11,0,0,1,2,0
e3c6bbfe-f95a-447b-bfbe-c87c5a2408e3.singles,6,0.041596341,0.00023733584999999997,0.0015892677000000006,2.154e-06,0.0004447578499999999,1,100,64,26,10,0,0,0,1,0
e3cc0fde-ff1d-4916-9504-2dacd0ba627c.singles,6,0.047496568,0.00023667882000000007,0.0006900271099999998,2.224e-06,3.315517e-05,0,100,20,21,10,0,0,1,2,0
e3cfbebc-dc27-4e1c-9fec-c881c238f8f9.singles,6,0.03528114,0.00023783746999999993,0.0009083212699999997,3.376e-06,3.387342e-05,0,100,28,20,9,0,0,2,2,0
e3e6a634-5ef3-4823-b201-663764f18681.singles,6,0.037991229,0.00023964336999999987,0.0025091856499999997,1.853e-06,0.00047523838000000006,1,100,143,25,11,0,0,1,1,0
e3fb572d-19bc-462b-8c23-be96cdc2cbae.singles,6,0.03826326,0.00023321503000000004,0.00223903262,3.216e-06,3.293587999999999e-05,0,100,152,23,10,0,0,2,2,0
e40e9d50-f48e-4549-a6a6-589919792600.singles,6,0.034427146,0.00023612857999999993,0.0012397089899999995,2.184e-06,3.33023e-05,0,100,40,23,10,0,0,1,3,0
e413c95b-2df6-4e2f-83a7-b72e67250bef.singles,6,0.046346339,0.0002330075400000001,0.00106149252,2.185e-06,0.0006253030600000001,1,100,32,22,9,0,0,1,2,0
e45beef5-c92b-484a-bb19-c66b2fa91e0d.singles,6,0.041244525,0.00023659355999999993,0.0015445926900000007,2.355e-06,0.00041521832000000015,1,100,56,25,10,0,0,0,2,0
e53dd2f7-efe8-4143-be26-3a746a7cdf42.singles,6,0.046811571,0.00024124736999999992,0.0005038933400000001,2.665e-06,0.0014815954500000004,3,100,8,20,11,0,0,0,2,0
e557d02f-89a4-4bb9-849f-a4add91c996e.singles,6,0.043349946,0.00023782338999999992,0.0015508526100000003,2.885e-06,0.00042255007999999984,1,100,76,24,11,0,0,0,3,0
e612967c-3880-4650-b444-cd904ce73569.singles,6,0.040765999,0.00025234939,0.0016513850599999991,2.735e-06,3.506968999999999e-05,0,100,51,24,10,0,0,2,2,0
e64ad039-74ad-410f-a29a-b0c774d47ca6.singles,6,0.03798744,0.00023503057,0.0010402510599999998,2.415e-06,3.3127630000000007e-05,0,100,28,24,11,0,0,0,3,0
e64ba234-de7b-4ad1-b3b0-1ec8d95fa65d.singles,6,0.043158322,0.00023610912,0.0007584409499999993,2.474e-06,0.0009722188200000001,2,100,19,23,11,0,0,0,2,0
e6525155-9157-4f61-8ba9-f97815648ef8.singles,6,0.036123081,0.00024806692999999994,0.006425995239999994,2.775e-06,3.433584000000001e-05,0,100,526,29,12,0,0,0,3,0
e66101c0-0f2c-4052-b2ee-46ed979f970a.singles,6,0.042434903,0.00025039142999999994,0.0009283623300000002,2.354e-06,3.4597019999999996e-05,0,100,23,22,11,0,0,0,2,0
e73379bf-a82c-494c-bb03-b2317ffdad0e.singles,6,0.039282781,0.00023625331999999998,0.0019492775499999992,3.026e-06,0.00043106701999999996,1,100,94,24,10,0,0,0,2,0
e78706be-76d6-4b82-8ca0-41b4e7a4e4ac.singles,6,0.034611015,0.00024530077,0.0005751419599999998,3.577e-06,3.5723759999999996e-05,0,100,12,22,11,0,0,2,1,0
e7a30a6b-6394-4687-a487-2c4ad14529eb.singles,6,0.035890555,0.0002332980499999998,0.00066551208,2.845e-06,3.3069339999999995e-05,0,100,12,23,10,0,0,0,2,0
